Date,Month,Product,Category,Region,Units_Sold,Unit_Price,Revenue,Cost,Profit
2024-01-05,January,Product A,Electronics,North,120,5000,600000,360000,240000
2024-01-12,January,Product B,Clothing,South,340,800,272000,163200,108800
2024-01-18,January,Product C,Electronics,East,95,12000,1140000,684000,456000
2024-01-25,January,Product D,Food,West,520,150,78000,46800,31200
2024-02-03,February,Product A,Electronics,South,145,5000,725000,435000,290000
2024-02-09,February,Product B,Clothing,North,280,800,224000,134400,89600
2024-02-14,February,Product C,Electronics,West,110,12000,1320000,792000,528000
2024-02-21,February,Product D,Food,East,610,150,91500,54900,36600
2024-03-02,March,Product A,Electronics,East,160,5000,800000,480000,320000
2024-03-08,March,Product B,Clothing,West,310,800,248000,148800,99200
2024-03-15,March,Product C,Electronics,North,130,12000,1560000,936000,624000
2024-03-22,March,Product D,Food,South,480,150,72000,43200,28800
2024-04-05,April,Product A,Electronics,West,175,5000,875000,525000,350000
2024-04-11,April,Product B,Clothing,East,295,800,236000,141600,94400
2024-04-17,April,Product C,Electronics,South,145,12000,1740000,1044000,696000
2024-04-24,April,Product D,Food,North,550,150,82500,49500,33000
2024-05-03,May,Product A,Electronics,North,195,5000,975000,585000,390000
2024-05-09,May,Product B,Clothing,South,320,800,256000,153600,102400
2024-05-16,May,Product C,Electronics,East,160,12000,1920000,1152000,768000
2024-05-23,May,Product D,Food,West,590,150,88500,53100,35400
2024-06-02,June,Product A,Electronics,South,185,5000,925000,555000,370000
2024-06-10,June,Product B,Clothing,North,305,800,244000,146400,97600
2024-06-19,June,Product C,Electronics,West,150,12000,1800000,1080000,720000
2024-06-25,June,Product D,Food,East,535,150,80250,48150,32100
2024-07-04,July,Product A,Electronics,East,200,5000,1000000,600000,400000
2024-07-11,July,Product B,Clothing,West,330,800,264000,158400,105600
2024-07-18,July,Product C,Electronics,North,165,12000,1980000,1188000,792000
2024-07-26,July,Product D,Food,South,570,150,85500,51300,34200
2024-08-02,August,Product A,Electronics,West,210,5000,1050000,630000,420000
2024-08-08,August,Product B,Clothing,East,345,800,276000,165600,110400
2024-08-15,August,Product C,Electronics,South,172,12000,2064000,1238400,825600
2024-08-22,August,Product D,Food,North,600,150,90000,54000,36000
2024-09-06,September,Product A,Electronics,North,110,5000,550000,330000,220000
2024-09-13,September,Product B,Clothing,South,195,800,156000,93600,62400
2024-09-19,September,Product C,Electronics,East,88,12000,1056000,633600,422400
2024-09-27,September,Product D,Food,West,410,150,61500,36900,24600
2024-10-04,October,Product A,Electronics,South,155,5000,775000,465000,310000
2024-10-10,October,Product B,Clothing,North,275,800,220000,132000,88000
2024-10-17,October,Product C,Electronics,West,135,12000,1620000,972000,648000
2024-10-25,October,Product D,Food,East,500,150,75000,45000,30000
2024-11-01,November,Product A,Electronics,East,180,5000,900000,540000,360000
2024-11-07,November,Product B,Clothing,West,315,800,252000,151200,100800
2024-11-14,November,Product C,Electronics,North,155,12000,1860000,1116000,744000
2024-11-21,November,Product D,Food,South,560,150,84000,50400,33600
2024-12-05,December,Product A,Electronics,West,220,5000,1100000,660000,440000
2024-12-12,December,Product B,Clothing,East,360,800,288000,172800,115200
2024-12-19,December,Product C,Electronics,South,180,12000,2160000,1296000,864000
2024-12-26,December,Product D,Food,North,640,150,96000,57600,38400